onset	duration	trial_type	stim_file	oneback
5.990000	12.010000	Img	placeholders/fixation.png	0
18.000000	5.990000	Fix	placeholders/fixation.png	0
23.994743	0.999113	train_face	sub02/run94/M8530.jpg	0
26.992251	0.999118	Fix	placeholders/fixation.png	0
30.006612	0.998962	train_face	sub02/run94/F8534.jpg	0
33.003914	0.999227	Fix	placeholders/fixation.png	0
36.001584	0.999100	train_face	sub02/run94/M8502.jpg	0
38.999062	0.999183	train_face	sub02/run94/M8508.jpg	0
41.996577	0.999144	test_face	sub02/run94/F7216.jpg	0
44.994284	0.998951	Fix	placeholders/fixation.png	0
48.008455	0.999020	test_face	sub02/run94/M6953.jpg	0
51.005840	0.999160	train_face	sub02/run94/F8530.jpg	0
54.003376	0.999144	train_face	sub02/run94/M8526.jpg	0
57.001049	0.999025	train_face	sub02/run94/F8533.jpg	0
59.998429	0.999136	train_face	sub02/run94/F8533.jpg	1
62.995939	0.999227	test_face	sub02/run94/M7704.jpg	0
65.993524	0.999341	train_face	sub02/run94/F8535.jpg	0
69.007675	0.999236	Fix	placeholders/fixation.png	0
72.005495	0.999120	train_face	sub02/run94/F8504.jpg	0
75.002840	0.999171	train_face	sub02/run94/F8529.jpg	0
78.000354	0.999143	train_face	sub02/run94/F8507.jpg	0
80.997928	0.999166	train_face	sub02/run94/F8503.jpg	0
83.995408	0.999149	Fix	placeholders/fixation.png	0
86.992883	0.999983	train_face	sub02/run94/M8499.jpg	0
90.007225	0.999132	train_face	sub02/run94/M8523.jpg	0
93.004836	0.998985	train_face	sub02/run94/M8505.jpg	0
96.002373	0.999004	train_face	sub02/run94/M8520.jpg	0
98.999733	0.999219	Fix	placeholders/fixation.png	0
101.997349	0.999109	test_face	sub02/run94/F7792.jpg	0
104.994782	0.999288	Fix	placeholders/fixation.png	0
107.992344	0.999181	train_face	sub02/run94/F8531.jpg	0
111.006704	0.999056	train_face	sub02/run94/F8531.jpg	1
114.004140	0.999145	train_face	sub02/run94/M8531.jpg	0
